name,npi,mobile_no,address,speciality,member_impact
Dr. John Smith,1000000001,555-301-1001,"123 Oak St Springfield IL","Internal Medicine",1
Dr. REJI ABHILASH,1346743739,240-883-9800,"6209 EXECUTIVE BLVD ROCKVILLEMD 20852-3906","Psychologist",1
Dr. JOSEPH TAYLOR AARON,1053395590,425-277-0222,"3507 NE SUNSET BLVD RENTON WA 98056-3330","Chiropractor",1
Dr. Gordon Abrams,1063484491,412-647-3553,"200 LOTHROP ST ROOM 3950 CHP CMT PITTSBURGH PA 15213-2536","Radiology",1
Dr. David Wilson,1000000005,555-301-1005,"782 Cedar Ln Phoenix AZ","Neurology",1
Dr. Laura Miller,1000000006,555-301-1006,"98 Grove St Austin TX","Orthopedics",1
Dr. Daniel Anderson,1000000007,555-301-1007,"340 Birch Blvd Miami FL","Ophthalmology",1
Dr. Sophia Thomas,1000000008,555-301-1008,"400 Sunrise Ct Portland OR","Pediatrics",1
Dr. James Jackson,1000000009,555-301-1009,"77 Brookside Rd Madison WI","Endocrinology",2
Dr. Victoria White,1000000010,555-301-1010,"52 Highland St Omaha NE","Gastroenterology",1
Dr. Liam Harris,1000000011,555-301-1011,"240 Ridgeview Dr Richmond VA","Internal Medicine",1
Dr. Grace Martin,1000000012,555-301-1012,"64 Parkside Ave Atlanta GA","Family Medicine",4
Dr. Henry Lee,1000000013,555-301-1013,"92 Evergreen Pl Boise ID","Cardiology", 1
Dr. Olivia Perez,1000000014,555-301-1014,"118 Forest Rd Wichita KS","Dermatology", 2
Dr. Jackson Thompson,1000000015,555-301-1015,"741 Willow Ct Sacramento CA","Neurology",1
Dr. Natalie Garcia,1000000016,555-301-1016,"56 Sunset Blvd Tulsa OK","Orthopedics",1
Dr. Ethan Martinez,1000000017,555-301-1017,"88 Glacier Way Salt Lake City UT","Ophthalmology",1
Dr. Harper Robinson,1000000018,555-301-1018,"39 Meadow Cir Columbus OH","Pediatrics",1
Dr. Benjamin Clark,1000000019,555-301-1019,"700 Prairie Rd Fargo ND","Endocrinology",4
Dr. Lily Rodriguez,1000000020,555-301-1020,"51 Riverbend Dr Detroit MI","Gastroenterology", 2
Dr. Oliver Lewis,1000000021,555-301-1021,"123 Elm St Springfield IL","Internal Medicine", 3
Dr. Hannah Walker,1000000022,555-301-1022,"45 Pine Ave Dayton OH","Family Medicine", 2
Dr. William Hall,1000000023,555-301-1023,"87 Maple Rd Albany NY","Cardiology", 1
Dr. Ava Allen,1000000024,555-301-1024,"16 Lakeview Dr Denver CO","Dermatology", 2
Dr. Lucas Young,1000000025,555-301-1025,"782 Cedar Ln Phoenix AZ","Neurology", 1
Dr. Chloe King,1000000026,555-301-1026,"98 Grove St Austin TX","Orthopedics", 1
Dr. Sebastian Wright,1000000027,555-301-1027,"340 Birch Blvd Miami FL","Ophthalmology", 1
Dr. Ella Scott,1000000028,555-301-1028,"400 Sunrise Ct Portland OR","Pediatrics",1
Dr. Alexander Green,1000000029,555-301-1029,"77 Brookside Rd Madison WI","Endocrinology",1
Dr. Aria Adams,1000000030,555-301-1030,"52 Highland St Omaha NE","Gastroenterology",1
Dr. Nathan Baker,1000000031,555-301-1031,"240 Ridgeview Dr Richmond VA","Internal Medicine",1
Dr. Zoe Nelson,1000000032,555-301-1032,"64 Parkside Ave Atlanta GA","Family Medicine",1
Dr. Matthew Carter,1000000033,555-301-1033,"92 Evergreen Pl Boise ID","Cardiology",1
Dr. Penelope Mitchell,1000000034,555-301-1034,"118 Forest Rd Wichita KS","Dermatology", 5
Dr. Joseph Perez,1000000035,555-301-1035,"741 Willow Ct Sacramento CA","Neurology",1
Dr. Audrey Roberts,1000000036,555-301-1036,"56 Sunset Blvd Tulsa OK","Orthopedics",1
Dr. Samuel Turner,1000000037,555-301-127,"88 Glacier Way Salt Lake City UT","Ophthalmology",1
Dr. Mila Phillips,1000000038,555-301-1038,"39 Meadow Cir Columbus OH","Pediatrics",1
Dr. Gabriel Campbell,1000000039,555-301-1039,"700 Prairie Rd Fargo ND","Endocrinology",1
Dr. Nora Parker,1000000040,555-301-127,"51 Riverbend Dr Detroit MI","Gastroenterology", 2
Dr. Isaac Evans,1000000041,555-328,"123 Oak St Springfield IL","Internal Medicine", 3
Dr. Sadie Edwards,1000000042,555-328,"45 Pine Ave Dayton OH","Family Medicine", 5
Dr. Anthony Collins,1000000043,555-301-1043,"87 Maple Rd Albany NY","Cardiology", 1
Dr. Ruby Stewart,1000000044,555-301-1044,"16 Lakeview Dr Denver CO","Dermatology", 2
Dr. Christopher Sanchez,1000000045,555-328,"782 Cedar Ln Phoenix AZ","Neurology" ,1
Dr. Emilia Morris,1000000046,555-328,"98 Grove St Austin TX","Orthopedics",3
Dr. Dylan Rogers,1000000047,555-328,"340 Birch Blvd Miami FL","Ophthalmology", 1
Dr. Lucy Reed,1000000048,555-301-1048,"400 Sunrise Ct Portland OR","Pediatrics", 1
Dr. Andrew Cook,1000000049,555-301-1049,"77 Brookside Rd Madison WI","Endocrinology", 2
Dr. Stella Morgan,1000000050,555-301-1050,"52 Highland St Omaha NE","Gastroenterology", 4
Dr. Evan Bell,1000000051,555-328,"240 Ridgeview Dr Richmond VA","Internal Medicine", 2
Dr. Hazel Murphy,1000000052,555-328,"64 Parkside Ave Atlanta GA","Family Medicine", 5
Dr. Julian Bailey,1000000053,555-328,"92 Evergreen Pl Boise ID","Cardiology", 2
Dr. Paisley Rivera,1000000054,555-301-1054,"118 Forest Rd Wichita KS","Dermatology", 3
Dr. Leo Cooper,1000000055,555-301-1055,"741 Willow Ct Sacramento CA","Neurology", 4
Dr. Allison Richardson,1000000056,555-301-1056,"56 Sunset Blvd Tulsa OK","Orthopedics", 2
Dr. Carter Cox,1000000057,555-328,"88 Glacier Way Salt Lake City UT","Ophthalmology",1
Dr. Clara Howard,1000000058,555-328,"39 Meadow Cir Columbus OH","Pediatrics", 1
Dr. Zachary Ward,1000000059,555-301-1059,"700 Prairie Rd Fargo ND","Endocrinology", 2
Dr. Ellie Torres,1000000060,555-301-1060,"51 Riverbend Dr Detroit MI","Gastroenterology", 2
Dr. Ryan Peterson,1000000061,555-328,"123 Oak St Springfield IL","Internal Medicine", 3
Dr. Madeline Gray,1000000062,555-328,"45 Pine Ave Dayton OH","Family Medicine", 5
Dr. Adam Ramirez,1000000063,555-328,"87 Maple Rd Albany NY","Cardiology", 1
Dr. Vivian James,1000000064,555-301-1064,"16 Lakeview Dr Denver CO","Dermatology", 2
Dr. Connor Watson,1000000065,555-301-1065,"782 Cedar Ln Phoenix AZ","Neurology", 3
Dr. Sophie Brooks,1000000066,555-328,"98 Grove St Austin TX","Orthopedics", 4
Dr. Thomas Kelly,1000000067,555-301-1067,"340 Birch Blvd Miami FL","Ophthalmology", 1
Dr. Vivian Sanders,1000000068,555-301-1068,"400 Sunrise Ct Portland OR","Pediatrics", 1
Dr. Charles Price,1000000069,555-328,"77 Brookside Rd Madison WI","Endocrinology", 2
Dr. Aurora Bennett,1000000070,555-328,"52 Highland St Omaha NE","Gastroenterology", 4        
Dr. Elijah Wood,1000000071,555-328,"240 Ridgeview Dr Richmond VA","Internal Medicine", 3
Dr. Isla Barnes,1000000072,555-301-1072,"64 Parkside Ave Atlanta GA","Family Medicine", 5
Dr. Caleb Ross,1000000073,555-301-1073,"92 Evergreen Pl Boise ID","Cardiology", 1
Dr. Violet Henderson,1000000074,555-328,"118 Forest Rd Wichita KS","Dermatology", 2
Dr. Josiah Coleman,1000000075,555-328,"741 Willow Ct Sacramento CA","Neurology", 3
Dr. Hannah Jenkins,1000000076,555-328,"56 Sunset Blvd Tulsa OK","Orthopedics", 4
Dr. Lincoln Perry,1000000077,555-301-1077,"88 Glacier Way Salt Lake City UT","Ophthalmology", 1
Dr. Savannah Powell,1000000078,555-301-1078,"39 Meadow Cir Columbus OH","Pediatrics"   , 1
Dr. Anthony Long,1000000079,555-301-1079,"700 Prairie Rd Fargo ND","Endocrinology", 2
Dr. Camila Patterson,1000000082,555-328,"51 Riverbend Dr Detroit MI","Gastroenterology", 2
Dr. Josie Hughes,1000000084,555-328,"123 Oak St Springfield IL","Internal Medicine", 3
Dr. Charles Flores,1000000082,555-328,"45 Pine Ave Dayton OH","Family Medicine", 5
Dr. Ruby Washington,1000000083,555-328,"87 Maple Rd Albany NY","Cardiology", 1
Dr. Christopher Butler,1000000084,555-328,"16 Lakeview Dr Denver CO","Dermatology", 2
Dr. Eva Simmons,1000000086,555-328,"782 Cedar Ln Phoenix AZ","Neurology", 3
Dr. Jaxon Foster,1000000094,555-328,"98 Grove St Austin TX","Orthopedics", 4
Dr. Scarlett Gonzales,1000000087,555-328,"340 Birch Blvd Miami FL","Ophthalmology", 1
Dr. Levi Bryant,1000000088,555-328,"400 Sunrise Ct Portland OR","Pediatrics", 1
Dr. Claire Alexander,1000000089,555-328,"77 Brookside Rd Madison WI","Endocrinology", 2
Dr. Isaiah Russell,1000000094,555-328,"52 Highland St Omaha NE","Gastroenterology", 2
Dr. Aurora Griffin,1000000096,555-328,"240 Ridgeview Dr Richmond VA","Internal Medicine", 3
Dr. Nolan Diaz,1000000092,555-328,"64 Parkside Ave Atlanta GA","Family Medicine", 5
Dr. Elena Hayes,1000000093,555-301-1093,"92 Evergreen Pl Boise ID","Cardiology", 1
Dr. Cameron Myers,1000000094,555-301-1094,"118 Forest Rd Wichita KS","Dermatology", 2
Dr. Sadie Ford,1000000095,555-301-1095,"741 Willow Ct Sacramento CA","Neurology", 3
Dr. Philip Barber,1356934582,219-369-2393,"1714 A ST LA PORTE IN 463505925","Counselor, Mental Health", 1
Dr. Jonathan Young,1457597163,405-456-1000,"921 NE 13TH ST OKLAHOMA CITY OK 731045007","Family Medicine", 1
Dr. Dominique Mclaughlin,1225713829,718-805-0037,"6414 MYRTLE AVE GLENDALE NY 113856203","Nurse Practitioner, Family", 1
Dr. Benjamin Lewis,1710862255,859-323-5000,"800 ROSE ST  LEXINGTON KY 405360001","Physician Assistant", 2
Dr. Alexandra Schild,1538560867,732-677-6518,"14 ELLIS ST FREEHOLD NJ 077281810","Social Worker, Clinical",3
Dr. Merlis Guerra,1265018584,623-295-1190,"13555 W MCDOWELL RD STE 205 GOODYEAR AZ 853952626","Nurse Practitioner, Acute Care",4
Dr. Rebecca Williams,1245783521,208-213-1234,"958 S LOCHSA ST STE 307 POST FALLS ID 838548358","Chiropractor",2
Dr. Hannah Woodcock,1144947276,904-420-2304,"45 ALABAMA AVE JACKSONVILLE FL 322182677","Behavior Technician",3
Dr. Natali Gutierrez Gomez,1902768294,305-899-3130,"11300 NE 2ND AVE  MIAMI SHORES FL 331616628","Student in an Organized Health Care Education/Training Program",1
Dr. Mckinzee Pachl,1518341189,503-395-4123,"4332 S SETTLER DR STE 130 RIDGEFIELD WA 986424542","Social Worker, Clinical",3
Dr. Zachary Stevens,1982257499,530-891-3000,"1163 E 7TH ST CHICO CA 959285999","Psychologist, School",3
Dr. Jacqueline Juarez,1811647753,747-210-4489,"14445 OLIVE VIEW DR SYLMAR CA 913421437","Psychologist",1
Dr. Kelly Kimmerling,1578256459,828-254-0749,"1293 HENDERSONVILLE RD STE 19 ASHEVILLE NC 288031956","Counselor, Professional",5
